codigo,nome,arquivo,tem_foto,origem
1002197,Rack Bechara Lazuli Off WHITE-(6.0000 ),(placeholder),nao,-
1002198,Rack Bechara Lazuli Preto FOSCO-(6.0000 ),(placeholder),nao,-
1002195,Rack Bechara Milao TIT/NAT-(3.0000 ),(placeholder),nao,-
7899630675428,Rack Caemmun Mondrian 1.36 S/GAV. Off White M R/FREIJO,7899630675428.jpg,sim,s9.chianca.net
7899630675435,Rack Caemmun Mondrian 1.5 com GAV. Off White M R/FREIJO,7899630675435.jpg,sim,s9.chianca.net
7908365528951,Rack Dj Flat CEDRO/BALI,7908365528951.jpg,sim,s9.chianca.net
7908365529002,Rack Dj Flow FREIJO/OFF White,7908365529002.jpg,sim,s9.chianca.net
7908365546283,Rack Dj Iris CEDRO/BALI,7908365546283.jpg,sim,s9.chianca.net
1002682,Rack Hb Smart 1.0 - CINAMOMO/OFF-WHITE,1002682.jpg,sim,s9.chianca.net
1002515,Rack Imcal Arc 2P 1.8 Off WHITE/NATURE,(placeholder),nao,-
7908365546399,Rack Mark CEDRO/BALI,7908365546399.jpg,sim,s9.chianca.net
1002298,CAD. REC. Artflex Doha Corino Bege,(placeholder),nao,-
1002609,CAD. REC. Artflex Doha Facto Bege,(placeholder),nao,-
1002680,CAD. REC. Artflex Doha Facto Stilo Marrom,(placeholder),nao,-
1002296,CAD. REC. Artflex Doha Facto Stilo Ocre,(placeholder),nao,-
1002299,CAD. REC. Artflex Doha Facto Stilo Preta,(placeholder),nao,-
1002297,CAD. REC. Artflex Doha Veludo Slim Camurca,(placeholder),nao,-
1002300,CAD. REC. Artflex Doha Veludo Slim Marfim,(placeholder),nao,-
1003144,Cadeira Escritorio Diretor Tela Mesh com Enco Sto de Cabeca,(placeholder),nao,-
1217,Cadeira de Balanço Apogeu,(placeholder),nao,-
1003145,Cadeira de Escritorio Diretor Giratoria Vita Preto,(placeholder),nao,-
1003143,Cadeira de Escritorio Ergonomica e Giratoria Xx,1003143.jpg,sim,s9.chianca.net
1003639,Cadeira do Papai Tekshine Reclinavel Bege,1003639.jpg,sim,s9.chianca.net
1003713,Cadeira do Papai Tekshine Reclinavel Chinchila 2,1003713.jpg,sim,s9.chianca.net
1003708,Cadeira do Papai Tekshine Reclinavel Cinza Paloma 12,1003708.jpg,sim,s9.chianca.net
1003752,Cadeira do Papai Tekshine Reclinavel Cor 13,1003752.jpg,sim,s9.chianca.net
1003712,Cadeira do Papai Tekshine Reclinavel Ermine 1 0,1003712.jpg,sim,s9.chianca.net
1003698,Cadeira do Papai Tekshine Reclinavel Marrom,1003698.jpg,sim,s9.chianca.net
1003697,Cadeira do Papai Tekshine Reclinavel Pavemont 8,1003697.jpg,sim,s9.chianca.net
1002131,POLTRONA. Artflex Esmeralda MAD. Linho Saturn o Gelo,(placeholder),nao,-
1002314,Poltrona Artflex Perola Mad Linho Twist 34,(placeholder),nao,-
1002301,Poltrona Artflex Perola Mad Linho Zavatex Cinza,(placeholder),nao,-
1002102,Poltrona Artflex Perola Mad Linho Zavatex Marfim 900000001,(placeholder),nao,-
1002302,Poltrona Artflex Perola Twist Tec / Cor 73,(placeholder),nao,-
1001151,Poltrona Esmeralda Tec Velud Preta,(placeholder),nao,-
1003208,Poltrona Jonas Almofadada Bege,(placeholder),nao,-
1003207,Poltrona Jonas Almofadada Cinza,(placeholder),nao,-
1003210,Poltrona Jonas Almofadada Marrom,(placeholder),nao,-
300224,Poltrona Jonas Almofadada Preta,(placeholder),nao,-
1003212,Poltrona Jonas Almofadada Vermelha,(placeholder),nao,-
1004302,Poltrona Jonas Baronesa Linho Azul,(placeholder),nao,-
1003478,Poltrona Jonas Baronesa Linho Bege,(placeholder),nao,-
1004303,Poltrona Jonas Baronesa Linho Cinza,(placeholder),nao,-
1003724,Poltrona Jonas Baronesa Linho Marrom,(placeholder),nao,-
1003203,Poltrona Jonas Baronesa Marrom,(placeholder),nao,-
40091,Poltrona Jonas Baronesa Tecido Preta,(placeholder),nao,-
1003202,Poltrona Jonas Baronesa Veludo Bege,(placeholder),nao,-
1001738,Poltrona Jonas Baronesa Veludo Cinza,(placeholder),nao,-
1003205,Poltrona Jonas Baronesa Veludo Vermelho,(placeholder),nao,-
1003027,Poltrona Jonas Santa Clara Tec Cinza,(placeholder),nao,-
1004402,Poltrona Londres - Velutti Bege,(placeholder),nao,-
